Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;;;;;;;;;;;;;;;;
Auto;EU;Valeo;Auto & Truck Part;France;Complete Goodwill;0,819;1671;1671;1749;1863;1609;1642;1613;1701;1868;1803;1571;1588;1445;1400;1444;1274;0;;;;;;;;;;;;;;;;
Auto;USA;Lear;Auto & Truck Part;USA;Complete Goodwill;0,641;726;757;747;629;615;621;1481;2054;1997;1940;3039;2940;2860;3140;3267;3211;2020;;;;;;;;;;;;;;;;
Auto;Japan;JTEKT;Auto & Truck Part;Japan;No Goodwill;-100,000;0;0;0;13;0;0;0;3;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;Japan;Toyota Boshoku;Auto & Truck Part;Japan;Short Goodwill;-100,000;5;10;43;47;26;36;42;23;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;EU;GKN;Auto & Truck Part;UK;Complete Goodwill;0,234;775;897;874;857;541;529;681;561;450;439;381;556;706;756;878;0;0;;;;;;;;;;;;;;;;
Auto;Japan;Calsonic Kansei;Auto & Truck Part;Japan;No Goodwill;-100,000;1;1;1;2;2;3;3;1;4;5;8;10;0;1;2;1;0;;;;;;;;;;;;;;;;
Auto;EU;Autoliv;Auto & Truck Part;Sweden;Complete Goodwill;0,076;1594;1610;1611;1607;1612;1614;1608;1613;1537;1525;1552;1531;1498;1472;1462;1320;0;;;;;;;;;;;;;;;;
Auto;Japan;Sumitomo Rubber;Auto & Truck Part;Japan;Complete Goodwill;0,800;88;84;80;92;93;80;88;83;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;EU;Pirelli & C;Auto & Truck Part;Italy;Complete Goodwill;-0,365;1079;1261;1215;1186;1110;1458;1409;927;633;535;624;572;571;492;525;477;504;;;;;;;;;;;;;;;;
Auto;USA;BorgWarner;Auto & Truck Part;USA;Complete Goodwill;0,509;1206;1197;1181;1186;1114;1061;1052;1168;1087;1030;861;852;827;1161;1203;1285;0;;;;;;;;;;;;;;;;
Auto;Japan;Yokohama Rubber;Auto & Truck Part;Japan;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;S Korea;Hyundai Wia;Auto & Truck Part;S Korea;No Goodwill;-100,000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;Asia;Cheng Shin Rubber Industry;Auto & Truck Part;Taiwan;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;USA;Visteon;Auto & Truck Part;USA;Short Goodwill;-100,000;102;97;46;36;38;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;USA;WABCO Holdings;Auto & Truck Part;USA;Complete Goodwill;0,939;421;381;372;364;378;399;361;377;344;312;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;USA;LKQ;Auto & Truck Part;USA;Complete Goodwill;0,992;2289;1937;1690;1476;1033;939;907;826;246;182;100;51;49;115;0;0;0;;;;;;;;;;;;;;;;
Auto;Russia;Kaluzhskiy Dvigatel;Auto & Truck Part;Russia;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;Asia;Astra International;Auto & Truck Part;Indonesia;Complete Goodwill;0,877;123;126;145;157;151;76;74;71;79;77;75;32;32;28;30;0;0;;;;;;;;;;;;;;;;
Auto;China;Brilliance China Automotive Holdings;Auto & Truck Part;China;No Goodwill;-100,000;0;0;0;0;0;0;43;39;37;36;42;44;47;50;28;28;0;;;;;;;;;;;;;;;;
Auto;Japan;NOK;Auto & Truck Part;Japan;No Goodwill;-100,000;0;0;1;1;2;2;12;24;36;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;Japan;Yamaha Motor;Recreational Products Auto;Japan;No Goodwill;-100,000;0;0;0;1;0;0;0;0;0;0;0;0;0;78;1;3;0;;;;;;;;;;;;;;;;
Auto;USA;Harley-davidson;Recreational Products Auto;USA;Complete Goodwill;-0,821;28;30;30;29;30;31;60;61;59;57;59;54;50;50;54;55;0;;;;;;;;;;;;;;;;
Auto;USA;Polaris Industries;Recreational Products Auto;USA;Complete Goodwill;0,748;123;127;56;45;28;26;25;26;25;25;25;24;24;24;0;0;0;;;;;;;;;;;;;;;;
Auto;India;Bajaj Auto;Recreational Products Auto;India;Short Goodwill;-100,000;84;106;103;93;81;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;USA;Brunswick;Recreational Products Auto;USA;Complete Goodwill;-0,280;297;292;292;290;291;293;291;679;664;662;625;515;453;474;392;405;0;;;;;;;;;;;;;;;;
Auto;USA;Activision Blizzard;Recreational Products Auto;USA;Complete Goodwill;0,513;7086;7092;7106;7111;7132;7154;7227;0;195;100;92;76;68;36;10;12;0;;;;;;;;;;;;;;;;
Auto;USA;Electronic Arts;Recreational Products Auto;USA;Complete Goodwill;0,956;1713;1723;1721;1718;1110;1093;807;1152;734;647;153;92;86;69;0;0;0;;;;;;;;;;;;;;;;
Auto;Japan;Shimano;Recreational Products Auto;Japan;Short Goodwill;-100,000;25;38;47;47;41;41;37;5;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;India;Hero Motocorp;Recreational Products Auto;India;No Goodwill;-100,000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;Deutsche Post;Air Courier;Germany;Complete Goodwill;-0,201;13511;14739;14448;14217;14187;14675;14187;17185;14918;12901;7944;7117;4556;5868;5330;0;0;;;;;;;;;;;;;;;;
Transport;USA;FedEx;Air Courier;USA;Complete Goodwill;0,622;3810;2790;2755;2387;2326;2200;2229;3165;3497;2825;2835;2802;1063;1063;1082;501;344;;;;;;;;;;;;;;;;
Transport;USA;United Parcel Service;Air Courier;USA;Complete Goodwill;0,697;2184;2190;2173;2101;2081;2089;1986;2577;2533;2549;1255;0;0;0;0;0;0;;;;;;;;;;;;;;;;
