Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Delphi Automotive;Auto & Truck Part;UK;DLPH US Equity;USD;3844;3719;3687;3245;1264;1515;1580;1687;1445;16308;13284;12743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;TRW Automotive Holdings;Auto & Truck Part;USA;TRW US Equity;USD;2912;3101;3207;3283;3531;4115;4840;5249;4952;5326;5464;6003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Goodyear;Auto & Truck Part;USA;GT US Equity;USD;8946;10057;10492;10076;8818;8736;8575;8674;12244;9300;10501;10507;8103;6683;4994;4634;3308;3015;3385;3609;3604;3489;3859;3267;4459;4010;4036;4338;0;0;0;0;0;0;0
Auto;EU;Valeo;Auto & Truck Part;France;VLEEY US Equity;EUR;3259;3381;3586;3353;2586;3331;2918;3040;2919;2958;2758;2391;1616;1404;844;1052;1235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Lear;Auto & Truck Part;USA;LEA US Equity;USD;2163;1602;1365;1386;1234;1491;2064;3106;3361;3071;2566;2731;2776;2837;3403;3765;1880;1398;1299;1205;520;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;JTEKT;Auto & Truck Part;Japan;6473 JP Equity;JPY;2004;2436;2609;2647;2198;1836;1706;1450;1476;1726;1071;1119;988;964;1302;856;731;621;735;1061;753;661;611;559;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Boshoku;Auto & Truck Part;Japan;3116 JP Equity;JPY;1004;1356;1462;1695;1392;1412;1278;523;258;285;240;62;63;88;111;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;GKN;Auto & Truck Part;UK;GKNCF US Equity;GBP;5096;4505;4155;2748;2222;2900;3431;2370;2645;3242;3287;2040;1904;1607;1385;1100;515;870;1172;633;621;362;588;606;562;574;453;0;0;0;0;0;0;0;0
Auto;Japan;Calsonic Kansei;Auto & Truck Part;Japan;7248 JP Equity;JPY;247;261;261;258;188;212;214;201;274;433;646;427;414;593;603;546;280;217;283;246;268;300;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Autoliv;Auto & Truck Part;Sweden;ALV US Equity;USD;1862;554;944;682;891;1056;1651;1241;1091;919;860;1085;1024;1188;880;602;745;713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Rubber;Auto & Truck Part;Japan;5110 JP Equity;JPY;1962;1862;2678;2601;2086;2179;1724;1589;1548;1507;1405;1190;1048;1225;1429;1363;1623;1463;1383;1612;1780;1594;1483;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Pirelli & C;Auto & Truck Part;Italy;PPAMF US Equity;EUR;3004;3730;3693;2748;2159;3171;2771;1983;2797;2745;3678;3448;3008;2599;2979;2853;2502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;BorgWarner;Auto & Truck Part;USA;BWA US Equity;USD;1369;1661;1652;1600;1853;1543;1357;1436;1512;1187;1309;1379;1236;1200;1139;1245;606;627;650;480;454;511;177;203;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Yokohama Rubber;Auto & Truck Part;Japan;5101 JP Equity;JPY;930;996;1226;1273;1182;1042;985;929;1147;1078;992;786;524;719;847;887;640;576;553;664;857;781;847;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Wia;Auto & Truck Part;S Korea;011210 KS Equity;KRW;1148;962;529;397;388;368;248;245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Asia;Cheng Shin Rubber Industry;Auto & Truck Part;Taiwan;2105 TT Equity;TWD;1110;1411;1669;1811;1098;874;891;604;662;601;432;238;118;135;197;196;117;201;170;124;72;48;32;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Visteon;Auto & Truck Part;USA;VC US Equity;USD;1670;1352;1463;1419;1416;3809;1600;4767;4558;3825;6050;5534;4726;4352;4098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;WABCO Holdings;Auto & Truck Part;USA;WBC US Equity;USD;1126;710;573;536;564;682;733;689;474;409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;LKQ;Auto & Truck Part;USA;LKQ US Equity;USD;2102;1490;1271;1158;660;672;694;679;102;50;54;8;32;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Russia;Kaluzhskiy Dvigatel;Auto & Truck Part;Russia;KADV RU Equity;RUB;25;23;15;16;7;6;9;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Asia;Astra International;Auto & Truck Part;Indonesia;ASII IJ Equity;IDR;3349;3003;3981;3309;1990;1408;1190;1075;1272;1532;689;734;1037;1115;1168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Brilliance China Automotive Holdings;Auto & Truck Part;China;1114 HK Equity;CNY;19;9;0;0;0;62;57;259;208;10;184;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;NOK;Auto & Truck Part;Japan;7240 JP Equity;JPY;862;771;999;1111;1240;1365;1212;575;653;717;698;684;575;587;664;641;285;262;238;316;289;285;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Yamaha Motor;Recreational Products Auto;Japan;7272 JP Equity;JPY;2266;1988;2877;2812;3445;3823;1617;958;938;696;750;0;1221;1589;1559;1392;1066;1175;1430;1436;1636;1762;1405;1093;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Harley-davidson;Recreational Products Auto;USA;HOG US Equity;USD;4230;3886;5110;4555;5210;4779;3090;1376;1180;1298;1092;1010;638;646;533;433;422;411;386;273;89;68;18;64;62;86;143;184;0;0;0;0;0;0;0
Auto;USA;Polaris Industries;Recreational Products Auto;USA;PII US Equity;USD;349;393;165;142;106;216;209;209;250;18;26;21;18;18;47;40;21;24;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Bajaj Auto;Recreational Products Auto;India;BJAUT IN Equity;INR;62;66;83;89;106;275;306;325;1713;1046;473;261;197;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Brunswick;Recreational Products Auto;USA;BC US Equity;USD;1063;994;1409;1555;1656;1593;1493;1177;1285;1338;1380;1178;1207;1144;1082;966;1004;978;774;637;590;577;583;539;540;646;588;542;0;0;0;0;0;0;0
Auto;USA;Activision Blizzard;Recreational Products Auto;USA;ATVI US Equity;USD;4695;4985;231;229;284;479;854;0;41;2;0;0;3;3;63;74;61;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Electronic Arts;Recreational Products Auto;USA;EA US Equity;USD;333;904;886;913;363;343;408;421;88;97;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
